"","Date","Region","monthly_inflation","Unemployment_Rate","wage_growth","Real_GDP_Index","POPTHM","real_wage_growth","pre_2020","pre_mid_2020","post_2020"
"62",2023-02-01,"New England",0.00203633426174472,0.037,0.061,22354.843,334544,0.0589636657382553,1,1,1
"63",2023-03-01,"New England",0.000134360068187779,0.034,0.066,22444.569,334664,0.0658656399318122,1,1,1
"64",2023-04-01,"New England",0.00302269540466334,0.026,0.066,22439.623,334792,0.0629773045953367,1,1,1
"65",2023-05-01,"New England",-0.002452724365682,0.029,0.064,22571.293,334929,0.066452724365682,1,1,1
"66",2023-06-01,"New England",0.00248392998002791,0.032,0.063,22612.29,335080,0.0605160700199721,1,1,1
"67",2023-07-01,"New England",-0.000602702114479941,0.032,0.065,22692.347,335248,0.0656027021144799,1,1,1
"68",2023-08-01,"New England",0.00406231677694949,0.033,0.065,22827.169,335431,0.0609376832230505,1,1,1
"69",2023-09-01,"New England",0.00249426485922842,0.031,0.062,22828.208,335612,0.0595057351407716,1,1,1
"70",2023-10-01,"New England",0.00117329871686048,0.031,0.061,22801.215,335773,0.0598267012831395,1,1,1
"71",2023-11-01,"New England",0.00357395171009439,0.031,0.06,22925.249,335925,0.0564260482899056,1,1,1
"72",2023-12-01,"New England",-0.00137479812828698,0.033,0.063,23160.058,336070,0.064374798128287,1,1,1
"73",2024-01-01,"New England",0.0050008707983978,0.038,0.061,22957.423,336194,0.0559991292016022,1,1,1
"74",2024-02-01,"New England",0.00364740638048549,0.041,0.06,23107.433,336306,0.0563525936195145,1,1,1
"75",2024-03-01,"New England",0.00972669867789258,0.036,0.056,23100.549,336423,0.0462733013221074,1,1,1
"76",2024-04-01,"New England",0.00346885763840825,0.031,0.057,23165.934,336550,0.0535311423615918,1,1,1
"77",2024-05-01,"New England",0.00340817800426835,0.035,0.056,23248.626,336687,0.0525918219957316,1,1,1
"78",2024-06-01,"New England",0.00296798298464243,0.034,0.052,23261.861,336839,0.0490320170153576,1,1,1
"79",2024-07-01,"New England",-0.003305918400258,0.039,0.052,23385.227,337005,0.055305918400258,1,1,1
"80",2024-08-01,"New England",0.00216001941590483,0.039,0.052,23427.13,337185,0.0498399805840952,1,1,1
"81",2018-01-01,"Middle Atlantic",0.00477000000000004,0.05,0.032,20001.73,327969,0.02723,0,0,0
"82",2018-02-01,"Middle Atlantic",0.00424972879365419,0.05,0.029,20097.48,328085,0.0247502712063458,0,0,0
"83",2018-03-01,"Middle Atlantic",0.000475699674938573,0.046,0.03,20032.979,328219,0.0295243003250614,0,0,0
"84",2018-04-01,"Middle Atlantic",0.00415048736032963,0.04,0.028,20090.314,328364,0.0238495126396704,0,0,0
"85",2018-05-01,"Middle Atlantic",0.00446873366150085,0.038,0.027,20178.485,328521,0.0225312663384992,0,0,0
"86",2018-06-01,"Middle Atlantic",0.000854415461973634,0.043,0.029,20182.623,328692,0.0281455845380264,0,0,0
"87",2018-07-01,"Middle Atlantic",-0.00071631129122477,0.045,0.026,20258.177,328863,0.0267163112912248,0,0,0
"88",2018-08-01,"Middle Atlantic",0.00326007973448033,0.043,0.025,20287.991,329040,0.0217399202655197,0,0,0
"89",2018-09-01,"Middle Atlantic",0,0.037,0.027,20282.317,329216,0.027,0,0,0
"90",2018-10-01,"Middle Atlantic",-0.000939610453166327,0.036,0.028,20285.465,329379,0.0289396104531663,0,0,0
"91",2018-11-01,"Middle Atlantic",-0.00383055430374034,0.035,0.026,20302.399,329527,0.0298305543037403,0,0,0
"92",2018-12-01,"Middle Atlantic",-0.00115063481604599,0.038,0.027,20326.767,329659,0.028150634816046,0,0,0
"93",2019-01-01,"Middle Atlantic",0.00234330386152846,0.046,0.029,20439.896,329766,0.0266566961384715,0,0,0
"94",2019-02-01,"Middle Atlantic",0.00327099131664766,0.044,0.03,20397.279,329862,0.0267290086833523,0,0,0
"95",2019-03-01,"Middle Atlantic",0.00366174843592425,0.041,0.03,20457.77,329977,0.0263382515640757,0,0,0
"96",2019-04-01,"Middle Atlantic",0.00377520461218796,0.034,0.03,20529.751,330103,0.026224795387812,0,0,0
"97",2019-05-01,"Middle Atlantic",0.00247818227759538,0.035,0.033,20572.892,330240,0.0305218177224046,0,0,0
"98",2019-06-01,"Middle Atlantic",0.00222969763361211,0.038,0.033,20704.215,330393,0.0307703023663879,0,0,0
"99",2019-07-01,"Middle Atlantic",0.00146058829788273,0.043,0.036,20808.131,330553,0.0345394117021173,0,0,0
"100",2019-08-01,"Middle Atlantic",0.000550543782718604,0.042,0.036,20841.719,330729,0.0354494562172814,0,0,0
"101",2019-09-01,"Middle Atlantic",-0.000540587502775312,0.036,0.036,20880.121,330904,0.0365405875027753,0,0,0
"102",2019-10-01,"Middle Atlantic",-0.000164195682619365,0.037,0.036,20901.125,331066,0.0361641956826194,0,0,0
"103",2019-11-01,"Middle Atlantic",0.000521648408972372,0.037,0.041,21031.694,331213,0.0404783515910276,0,0,0
"104",2019-12-01,"Middle Atlantic",-0.000772409531533603,0.038,0.041,21023.709,331345,0.0417724095315336,0,0,0
"105",2020-01-01,"Middle Atlantic",0.00692807173501332,0.045,0.038,20997.514,331443,0.0310719282649867,1,0,0
"106",2020-02-01,"Middle Atlantic",0.00311873254709289,0.044,0.037,21065.812,331525,0.0338812674529071,1,0,0
"107",2020-03-01,"Middle Atlantic",-0.00217154227332738,0.052,0.035,20017.153,331642,0.0371715422733274,1,0,0
"108",2020-04-01,"Middle Atlantic",-0.00491817423566976,0.15,0.035,18205.46,331699,0.0399181742356698,1,0,0
"109",2020-05-01,"Middle Atlantic",0.00230263791741338,0.153,0.036,18963.824,331701,0.0336973620825866,1,0,0
"110",2020-06-01,"Middle Atlantic",0.00301827304797509,0.132,0.036,20003.128,331744,0.0329817269520249,1,0,0
"111",2020-07-01,"Middle Atlantic",0.0051750409690744,0.129,0.037,20343.438,331811,0.0318249590309256,1,1,0
"112",2020-08-01,"Middle Atlantic",0.000495771639955309,0.108,0.038,20546.906,331885,0.0375042283600447,1,1,0
"113",2020-09-01,"Middle Atlantic",0.0014294018429755,0.089,0.037,20760.257,331966,0.0355705981570245,1,1,0
"114",2020-10-01,"Middle Atlantic",-0.000675617809666073,0.079,0.035,20877.365,332041,0.0356756178096661,1,1,0
